rank,priority_score,provider,normalized_id,doi,openalex_id,arxiv_id,s2_paper_id,external_id_sample,citing_paper_count,high_value_categories,evidence_gap_reasons,top_citing_papers,top_citing_titles,provider_backfill_strategy,claim_scope,evidence_grade,uncertainty_reasons_json
1584,992.0,openalex,W2059135246,,W2059135246,,,W2059135246,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1585,992.0,openalex,W2062489691,,W2062489691,,,W2062489691,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1586,992.0,openalex,W2065049060,,W2065049060,,,W2065049060,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1587,992.0,openalex,W2066856056,,W2066856056,,,W2066856056,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1588,992.0,openalex,W2067403513,,W2067403513,,,W2067403513,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1589,992.0,openalex,W2067464897,,W2067464897,,,W2067464897,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1590,992.0,openalex,W2080554742,,W2080554742,,,W2080554742,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1591,992.0,openalex,W2080833174,,W2080833174,,,W2080833174,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1592,992.0,openalex,W2081887888,,W2081887888,,,W2081887888,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
1593,992.0,openalex,W2084242502,,W2084242502,,,W2084242502,2,branch_split_driver;cluster_representative;main_path_node,branch_split_driver;main_path_node,01KS6HSZ663Y6AT8FV8864P9M6;01KS6GZPSQHJ9MYGBE64593FYV,Topological Photonics;Topological Photonics,"Fetch the OpenAlex Work by W ID, add its provider IDs and references, then rerun exact reference relinking.",evidence_frontfill_task,missing_local_cited_work,"[""cited work is referenced by high-value local papers but is missing from the local corpus"", ""backfill target is an evidence acquisition task, not a scientific conclusion"", ""exact provider ID still needs metadata ingestion before it can support citation evolution claims""]"
