paper_id,priority_score,reasons,in_top_n,has_any_section,has_primary_section,eligible_pdf,last_attempt_outcome,last_attempt_ts,retry_class,retry_priority,access_strategy,publication_year,title,source_url,doi,arxiv_id,openalex_id,s2_paper_id
01KS6GE0HVC9YGPS7H9S0G3FXM,468.0,topic:metasurface holography|topic_evidence_gap|topic_gap:metasurface holography:future_candidate_generation_missing|topic_gap:metasurface holography:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:09Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2011,Numerical heterodyne holography with two-dimensional photodetector arrays,https://arxiv.org/pdf/1112.5080.pdf,,1112.5080,W2019564055,7962602288090ecfe4623db21a451e89c6d6bfef
01KS6HRQRDVDHA23NJYK7V3X12,422.0,branch_split_driver|future edge source|future edge target|future_endpoint|top_keystone|topic:quantum light source|topic_gap:quantum light source:future_candidates_missing_claim_card|topic_gap_claim_card_inputs,True,False,False,True,no_target_sections,2026-05-30T05:46:10Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2017,Monolithic Ultrahigh-Q Lithium Niobate Microring Resonator,https://arxiv.org/pdf/1712.04479.pdf,10.1364/OPTICA.4.001536,1712.04479,W2772042916,be50b7c7107cd48e83ff43d7497f4ca5bf004f71
01KS6GYEHTKSM99P2N7GPYZEX7,377.0,branch_split_driver|main_path_node|top_keystone|topic:quantum light source|topic_gap:quantum light source:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:13Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2014,Deterministic photon-emitter coupling in chiral photonic circuits,https://arxiv.org/pdf/1406.4295.pdf,10.1038/nnano.2015.159,1406.4295,W2211410166,13ab447452fe75fd2b1b06e454902018bcbaf599
01KS6HEPDK5G604MQCB4RTXK57,371.0,main_path_node|topic:quantum light source|topic_gap:quantum light source:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:15Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2016,Chiral Quantum Optics,https://arxiv.org/pdf/1608.00446.pdf,10.1038/nature21037,1608.00446,W2488446542,d17a5e2465086ed6559d5de4946110b54f35f343
01KS6HMZS9ACM80N6QJ22RAHGV,264.0,branch_split_driver|top_keystone|topic:metalens|topic_gap:metalens:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:46Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2017,Topology Optimized Multi-layered Meta-optics,https://arxiv.org/pdf/1706.06715.pdf,10.1103/PhysRevApplied.9.044030,1706.06715,W3098148120,dce2d6c5fc1e7268b22e1f8c6f981b6c21942103
01KS6FGD433ZJXYBXPYVZ727SG,254.0,main_path_node|topic:photonic crystal cavity|topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:48Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2009,Demonstration of an air-slot mode-gap confined photonic crystal slab nanocavity with ultrasmall mode volumes,https://arxiv.org/pdf/0910.4111.pdf,10.1063/1.3298642,0910.4111,W2018565487,bea29feacf893b9289b65e94ae5ec98f914c744d
01KS6HGSMCY03E789TEE3B0FCT,249.0,branch_split_driver|topic:metalens|topic_gap:metalens:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:49Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2016,A Dual Field-of-View Zoom Metalens,https://arxiv.org/pdf/1611.06519.pdf,10.1364/OL.42.001261,1611.06519,W2549092990,7ae0b7caeb4854d2fdf7d78cb17faf7bb4500d50
01KS6HPP3KS1MWWYWQ6GW64AV7,249.0,branch_split_driver|topic:metalens|topic_gap:metalens:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,True,False,False,True,no_target_sections,2026-05-30T05:46:51Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2017,Silicon nitride metalenses for unpolarized high-NA visible imaging,https://arxiv.org/pdf/1709.00573.pdf,10.1103/PhysRevApplied.10.014005,1709.00573,W2753699971,b849fdafc6539c0e4ebe0e300bede8a56ba424d8
01KS5KWND1RQQ5GYNP8JQNNN1J,236.0,topic:photonic crystal cavity|topic_gap:photonic crystal cavity:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:52Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2004,Two-dimensional coupled photonic crystal resonator arrays,https://arxiv.org/pdf/physics/0406110.pdf,10.1063/1.1639505,physics/0406110,W2761834797,ef36a16d7760696447b7e4765826f68f8ca3c8ff
01KS6FM0NPYW5AARJ2CBTGCY1Y,236.0,topic:quantum light source|topic_gap:quantum light source:key_turning_paper_missing_primary_section|topic_gap_key_turning_section,False,False,False,True,no_target_sections,2026-05-30T05:46:53Z,no_target_sections,1.0,do not treat as strong bottleneck evidence; use abstract/metadata only with weak scope,2010,Multi-scale Optics for Enhanced Light Collection from a Point Source,https://arxiv.org/pdf/1006.2188.pdf,10.1364/OL.35.002460,1006.2188,W1973892873,1a16dfe3a1263870ec2d75e40fba99acb07a0289
