paper_id,priority_score,reasons,in_top_n,has_any_section,has_primary_section,eligible_pdf,last_attempt_outcome,last_attempt_ts,retry_class,retry_priority,access_strategy,publication_year,title,source_url,doi,arxiv_id,openalex_id,s2_paper_id
01KS6JBZGGJNQJJYQQE4THX64V,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Spectral self-adaptive absorber/emitter for harvesting energy from the sun and outer space,https://arxiv.org/pdf/2004.00459.pdf,10.1073/pnas.2120557119,2004.00459,W4224234528,242d54a2327df8a1a850fd728f067e662b1d7cd2
01KS6JBZTF8VBKZ7YZPZDD88CR,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Spontaneous emission noise in mode-locked lasers and frequency combs,https://arxiv.org/pdf/2004.00763.pdf,10.1103/PhysRevA.102.013506,2004.00763,W3014517013,8b0906a4e3683228f98c8af271008b83f6b6f7a5
01KS6JC07BQ64HNEEKPRZ8N8H3,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Electrically-driven Acousto-optics and Broadband Non-reciprocity in Silicon Photonics,https://arxiv.org/pdf/2004.01270.pdf,10.1038/s41566-020-00711-9,2004.01270,W3014177127,7d1cc9df09957d3d928199d6decb38cb1c726ea2
01KS6JC2AW29V4HSY6Q4NW2JE0,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Quasi-nondegenerate pump-probe magnetooptical experiment in GaAs/AlGaAs heterostructure based on spectral filtration,https://arxiv.org/pdf/2004.03311.pdf,10.1088/1367-2630/abb54b,2004.03311,W3015462823,55d5f25b828899cb27dfc32873911bab72b7e00d
01KS6JC2XJZD751S2JP6QT1KHQ,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Quantum field theory for spin operator of the photon,https://arxiv.org/pdf/2004.03771.pdf,10.1103/PhysRevResearch.4.023165,2004.03771,W4281738939,409092fe5656f2c3e4543c7f32aef326798db8cd
01KS6JC322RJEKWG5TTSPNHY8E,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Resonant Tunneling Diodes Strongly Coupled to the Cavity Field,https://arxiv.org/pdf/2004.04810.pdf,10.1063/5.0007118,2004.04810,W3015576232,7863b5f9bd4d9c473a2db9b75618ae1829099fbc
01KS6JC3FQXTS4K8QR80BNKBVP,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Transverse drag of slow light in moving atomic vapor,https://arxiv.org/pdf/2004.04414.pdf,10.1364/OL.394389,2004.04414,W3025322444,5262846bfb628783627ea56b91b5a6170102eed3
01KS6JC49281ZXQ5WT7Y337AK3,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Cavity molecular dynamics simulations of liquid water under vibrational ultrastrong coupling,https://arxiv.org/pdf/2004.04888.pdf,10.1073/pnas.2009272117,2004.04888,W3042899518,b1c1283bf23ccd932c736eba44f20ee1d20dfe75
01KS6JC5TQE6ANRQQHS42VHSPR,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Quantifying entanglement of parametric down-converted states in all degrees of freedom,https://arxiv.org/pdf/2004.06412.pdf,10.1103/PhysRevResearch.2.023137,2004.06412,W3016638934,d64a24a1f6361f6006801a089fa6ee7e339e435b
01KS6JC78MFTDGAFEFM8VPS7PQ,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,"Efficient simulation of bi-periodic, layered structures based on the T-matrix method",https://arxiv.org/pdf/2004.08098.pdf,10.1364/JOSAB.419645,2004.08098,W3017170978,4b42c76e0da9bfedb22cc2ad7fff41e0688a36f1
01KS6JC7F00MDPYVZ3Q786YMM6,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,0.75 Gbit/s high-speed classical key distribution with mode-shift keying chaos synchronization of Fabry-Perot lasers,https://arxiv.org/pdf/2004.08586.pdf,10.1038/s41377-021-00610-w,2004.08586,W3196349361,0bdefe05789a282de84d7836f531eafe19be6a1e
01KS6JC8B2503BE87AER2PJDTB,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,"100,000 frames-per-second compressive imaging with a conventional rolling-shutter camera by random point-spread-function engineering",https://arxiv.org/pdf/2004.09614.pdf,10.1364/OE.402873,2004.09614,W3017511415,f95b0860b13e5e36ef77f7c25ffc56f3015c3048
01KS6JC8VSXAJDHCGZWE0E2PRT,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Generation of above-TW 1.5-cycle visible pulses at 1 kHz by post-compression in a hollow fiber,https://arxiv.org/pdf/2004.09950.pdf,10.1364/OL.395830,2004.09950,W3031773308,763fd7bf436af0659e0b9030c382478fd42d0688
01KS6JC9DX2SPJA7QBFGRZ0MCF,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Programmable Phase-change Metasurfaces on Waveguides for Multimode Photonic Convolutional Neural Network,https://arxiv.org/pdf/2004.10651.pdf,10.1038/s41467-020-20365-z,2004.10651,W3044091938,41ddcfef833c629b9d844751ee76241c787f1467
01KS6JC9R168REASZ7S5D7XMYP,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,"High sensitivity, levitated microsphere apparatus for short-distance force measurements",https://arxiv.org/pdf/2004.10973.pdf,10.1063/5.0011759,2004.10973,W3017849923,28571b73a0d183736f8e62ad5d2718b4c0d41bf9
01KS6JCAGT4AMAJ1YK7455E2BT,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Inverse-designed flat lens for imaging in the visible & near-infrared with diameter > 3mm and NA=0.3,https://arxiv.org/pdf/2004.13476.pdf,10.1063/5.0012759,2004.13476,W3023784080,1cb01be342121fa49f5c54f14bd5a74cd3164f3f
01KS6JCASWWY4D5XCH8GX9GVMS,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,Quantum Entangled Interferometers,https://arxiv.org/pdf/2004.12469.pdf,10.1063/5.0004873,2004.12469,W3099388066,d5282442683118ed18ca2dca47738abe543bf30f
01KS6JCB7JWKV9YVPZ4J54KQW7,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,A compact high-precision periodic-error-free heterodyne interferometer,https://arxiv.org/pdf/2004.13837.pdf,10.1364/JOSAA.396298,2004.13837,W3022590244,0322bb9ebb93ef58a2079b7a994d417f1686236f
01KS6JCBQ52HTQVGAAP6M9ZQM4,13.0,branch_split_driver,True,False,False,True,,,not_attempted_pdf_available,5.0,high-priority delta ingest candidate,2020,A new signature for strong light-matter coupling using spectroscopic ellipsometry,https://arxiv.org/pdf/2004.13434.pdf,10.1021/acs.nanolett.0c01963,2004.13434,W3043969245,b740be8c7d7ce9d82c4fe012085ac14cb708a9b1
